session_id,target,scenario,step,run,warmup,url,duration_ms,ttfb_ms,dcl_ms,load_ms,requests,transfer_bytes,third_party_requests,third_party_bytes,co2_model,co2_g,co2_device_g,raw_joules,baseline_watts,estimated_idle_joules,incremental_joules,energy_scope,energy_type,energy_adapter,energy_samples,firefox_version,playwright_version,co2js_version,os,architecture,headed,cache_mode,on_battery,low_power_mode,valid
a0fe7aff-d242-4c0d-837a-5eb9b426d45e,https://mgifford.github.io/open-scans/,measure,https://mgifford.github.io/open-scans/,0,true,https://mgifford.github.io/open-scans/,2451,155,430,430,4,18007,0,0,swd,0.0026686374,0.001432168738,,,,,process,hardware-estimate,firefox-profiler,0,153.0,1.62.1,0.19.0,darwin,arm64,false,warm,false,,true
a0fe7aff-d242-4c0d-837a-5eb9b426d45e,https://mgifford.github.io/open-scans/,measure,https://mgifford.github.io/open-scans/reports.html,0,true,https://mgifford.github.io/open-scans/reports.html,2160,111,164,164,1,36020,0,0,swd,0.005338164,0.00286481468,,,,,process,hardware-estimate,firefox-profiler,0,153.0,1.62.1,0.19.0,darwin,arm64,false,warm,false,,true
a0fe7aff-d242-4c0d-837a-5eb9b426d45e,https://mgifford.github.io/open-scans/,measure,https://mgifford.github.io/open-scans/reports/issues/issue-58/2026-08-15T03-05-39-722Z/report.html,0,true,https://mgifford.github.io/open-scans/reports/issues/issue-58/2026-08-15T03-05-39-722Z/report.html,2296,252,356,356,1,128405,0,0,swd,0.019029620999999997,0.010212563269999999,,,,,process,hardware-estimate,firefox-profiler,0,153.0,1.62.1,0.19.0,darwin,arm64,false,warm,false,,true
a0fe7aff-d242-4c0d-837a-5eb9b426d45e,https://mgifford.github.io/open-scans/,measure,https://mgifford.github.io/open-scans/,1,true,https://mgifford.github.io/open-scans/,2056,,57,58,4,18007,0,0,swd,0.0026686374,0.001432168738,,,,,process,hardware-estimate,firefox-profiler,0,153.0,1.62.1,0.19.0,darwin,arm64,false,warm,false,,true
a0fe7aff-d242-4c0d-837a-5eb9b426d45e,https://mgifford.github.io/open-scans/,measure,https://mgifford.github.io/open-scans/reports.html,1,true,https://mgifford.github.io/open-scans/reports.html,2050,,35,40,1,36020,0,0,swd,0.005338164,0.00286481468,,,,,process,hardware-estimate,firefox-profiler,0,153.0,1.62.1,0.19.0,darwin,arm64,false,warm,false,,true
a0fe7aff-d242-4c0d-837a-5eb9b426d45e,https://mgifford.github.io/open-scans/,measure,https://mgifford.github.io/open-scans/reports/issues/issue-58/2026-08-15T03-05-39-722Z/report.html,1,true,https://mgifford.github.io/open-scans/reports/issues/issue-58/2026-08-15T03-05-39-722Z/report.html,2035,,92,92,1,128405,0,0,swd,0.019029620999999997,0.010212563269999999,,,,,process,hardware-estimate,firefox-profiler,0,153.0,1.62.1,0.19.0,darwin,arm64,false,warm,false,,true
a0fe7aff-d242-4c0d-837a-5eb9b426d45e,https://mgifford.github.io/open-scans/,measure,https://mgifford.github.io/open-scans/,0,false,https://mgifford.github.io/open-scans/,2054,,37,37,4,18007,0,0,swd,0.0026686374,0.001432168738,,,,,process,hardware-estimate,firefox-profiler,0,153.0,1.62.1,0.19.0,darwin,arm64,false,warm,false,,true
a0fe7aff-d242-4c0d-837a-5eb9b426d45e,https://mgifford.github.io/open-scans/,measure,https://mgifford.github.io/open-scans/reports.html,0,false,https://mgifford.github.io/open-scans/reports.html,2038,,33,43,1,36020,0,0,swd,0.005338164,0.00286481468,,,,,process,hardware-estimate,firefox-profiler,0,153.0,1.62.1,0.19.0,darwin,arm64,false,warm,false,,true
a0fe7aff-d242-4c0d-837a-5eb9b426d45e,https://mgifford.github.io/open-scans/,measure,https://mgifford.github.io/open-scans/reports/issues/issue-58/2026-08-15T03-05-39-722Z/report.html,0,false,https://mgifford.github.io/open-scans/reports/issues/issue-58/2026-08-15T03-05-39-722Z/report.html,2043,,117,117,1,128405,0,0,swd,0.019029620999999997,0.010212563269999999,,,,,process,hardware-estimate,firefox-profiler,0,153.0,1.62.1,0.19.0,darwin,arm64,false,warm,false,,true
a0fe7aff-d242-4c0d-837a-5eb9b426d45e,https://mgifford.github.io/open-scans/,measure,https://mgifford.github.io/open-scans/,1,false,https://mgifford.github.io/open-scans/,2052,,45,46,4,18007,0,0,swd,0.0026686374,0.001432168738,,,,,process,hardware-estimate,firefox-profiler,0,153.0,1.62.1,0.19.0,darwin,arm64,false,warm,false,,true
a0fe7aff-d242-4c0d-837a-5eb9b426d45e,https://mgifford.github.io/open-scans/,measure,https://mgifford.github.io/open-scans/reports.html,1,false,https://mgifford.github.io/open-scans/reports.html,2051,,58,58,1,36020,0,0,swd,0.005338164,0.00286481468,,,,,process,hardware-estimate,firefox-profiler,0,153.0,1.62.1,0.19.0,darwin,arm64,false,warm,false,,true
a0fe7aff-d242-4c0d-837a-5eb9b426d45e,https://mgifford.github.io/open-scans/,measure,https://mgifford.github.io/open-scans/reports/issues/issue-58/2026-08-15T03-05-39-722Z/report.html,1,false,https://mgifford.github.io/open-scans/reports/issues/issue-58/2026-08-15T03-05-39-722Z/report.html,2057,,199,199,1,128405,0,0,swd,0.019029620999999997,0.010212563269999999,,,,,process,hardware-estimate,firefox-profiler,0,153.0,1.62.1,0.19.0,darwin,arm64,false,warm,false,,true
a0fe7aff-d242-4c0d-837a-5eb9b426d45e,https://mgifford.github.io/open-scans/,measure,https://mgifford.github.io/open-scans/,2,false,https://mgifford.github.io/open-scans/,2041,,34,35,4,18007,0,0,swd,0.0026686374,0.001432168738,,,,,process,hardware-estimate,firefox-profiler,0,153.0,1.62.1,0.19.0,darwin,arm64,false,warm,false,,true
a0fe7aff-d242-4c0d-837a-5eb9b426d45e,https://mgifford.github.io/open-scans/,measure,https://mgifford.github.io/open-scans/reports.html,2,false,https://mgifford.github.io/open-scans/reports.html,2030,,37,56,1,36020,0,0,swd,0.005338164,0.00286481468,,,,,process,hardware-estimate,firefox-profiler,0,153.0,1.62.1,0.19.0,darwin,arm64,false,warm,false,,true
a0fe7aff-d242-4c0d-837a-5eb9b426d45e,https://mgifford.github.io/open-scans/,measure,https://mgifford.github.io/open-scans/reports/issues/issue-58/2026-08-15T03-05-39-722Z/report.html,2,false,https://mgifford.github.io/open-scans/reports/issues/issue-58/2026-08-15T03-05-39-722Z/report.html,2038,,133,134,1,128405,0,0,swd,0.019029620999999997,0.010212563269999999,,,,,process,hardware-estimate,firefox-profiler,0,153.0,1.62.1,0.19.0,darwin,arm64,false,warm,false,,true
a0fe7aff-d242-4c0d-837a-5eb9b426d45e,https://mgifford.github.io/open-scans/,measure,https://mgifford.github.io/open-scans/,3,false,https://mgifford.github.io/open-scans/,2055,,83,84,4,18007,0,0,swd,0.0026686374,0.001432168738,,,,,process,hardware-estimate,firefox-profiler,0,153.0,1.62.1,0.19.0,darwin,arm64,false,warm,false,,true
