session_id,target,scenario,step,run,warmup,url,duration_ms,ttfb_ms,dcl_ms,load_ms,requests,transfer_bytes,third_party_requests,third_party_bytes,co2_model,co2_g,co2_device_g,raw_joules,baseline_watts,estimated_idle_joules,incremental_joules,energy_scope,energy_type,energy_adapter,energy_samples,firefox_version,playwright_version,co2js_version,os,architecture,headed,cache_mode,on_battery,low_power_mode,valid
52319cd2-bdef-4719-8875-e6d3e6699a8d,https://civicactions.com,crawl,https://civicactions.com/case-studies/cms-design-challenge-mvp,0,false,https://civicactions.com/case-studies/cms-design-challenge-mvp/,2529,143,228,556,30,1258724,9,899144,swd,0.1865428968,0.100111354616,,,,,process,hardware-estimate,firefox-profiler,0,153.0,1.62.1,0.19.0,darwin,arm64,false,warm,false,,true
52319cd2-bdef-4719-8875-e6d3e6699a8d,https://civicactions.com,crawl,https://civicactions.com/case-studies/cybergeek,0,false,https://civicactions.com/case-studies/cybergeek/,2547,146,201,454,30,1064179,8,686646,swd,0.1577113278,0.084638412586,,,,,process,hardware-estimate,firefox-profiler,0,153.0,1.62.1,0.19.0,darwin,arm64,false,warm,false,,true
52319cd2-bdef-4719-8875-e6d3e6699a8d,https://civicactions.com,crawl,https://civicactions.com/case-studies/fcc-website-modernization,0,false,https://civicactions.com/case-studies/fcc-website-modernization/,2662,206,261,506,30,1365308,9,1006697,swd,0.20233864559999998,0.108588406472,,,,,process,hardware-estimate,firefox-profiler,0,153.0,1.62.1,0.19.0,darwin,arm64,false,warm,false,,true
52319cd2-bdef-4719-8875-e6d3e6699a8d,https://civicactions.com,crawl,https://civicactions.com/case-studies/georgia-workforce-open-data,0,false,https://civicactions.com/case-studies/georgia-workforce-open-data/,2688,184,244,536,29,3320764,8,2961217,swd,0.4921372248,0.264113643976,,,,,process,hardware-estimate,firefox-profiler,0,153.0,1.62.1,0.19.0,darwin,arm64,false,warm,false,,true
52319cd2-bdef-4719-8875-e6d3e6699a8d,https://civicactions.com,crawl,https://civicactions.com/case-studies/globalnet-platform-support,0,false,https://civicactions.com/case-studies/globalnet-platform-support/,3259,170,215,1244,30,13042247,8,12663750,swd,1.9328610054,1.037302072898,,,,,process,hardware-estimate,firefox-profiler,0,153.0,1.62.1,0.19.0,darwin,arm64,false,warm,false,,true
52319cd2-bdef-4719-8875-e6d3e6699a8d,https://civicactions.com,crawl,https://civicactions.com/case-studies/nsf-website-redesign,0,false,https://civicactions.com/case-studies/nsf-website-redesign/,3108,188,267,1079,35,13012339,9,12622044,swd,1.9284286398000001,1.034923370026,,,,,process,hardware-estimate,firefox-profiler,0,153.0,1.62.1,0.19.0,darwin,arm64,false,warm,false,,true
52319cd2-bdef-4719-8875-e6d3e6699a8d,https://civicactions.com,crawl,https://civicactions.com/case-studies/nyc-metro-transit-digital-clocks,0,false,https://civicactions.com/case-studies/nyc-metro-transit-digital-clocks/,2624,153,212,605,29,3613572,8,3254360,swd,0.5355313704,0.287401835448,,,,,process,hardware-estimate,firefox-profiler,0,153.0,1.62.1,0.19.0,darwin,arm64,false,warm,false,,true
52319cd2-bdef-4719-8875-e6d3e6699a8d,https://civicactions.com,crawl,https://civicactions.com/case-studies/open-acr,0,false,https://civicactions.com/case-studies/open-acr/,2538,232,274,426,29,1108121,7,724692,swd,0.16422353220000002,0.08813329561400002,,,,,process,hardware-estimate,firefox-profiler,0,153.0,1.62.1,0.19.0,darwin,arm64,false,warm,false,,true
52319cd2-bdef-4719-8875-e6d3e6699a8d,https://civicactions.com,crawl,https://civicactions.com/case-studies/va-alt-text,0,false,https://civicactions.com/case-studies/va-alt-text/,2626,186,228,523,31,2977547,9,2600693,swd,0.4412724654,0.23681622309800002,,,,,process,hardware-estimate,firefox-profiler,0,153.0,1.62.1,0.19.0,darwin,arm64,false,warm,false,,true
52319cd2-bdef-4719-8875-e6d3e6699a8d,https://civicactions.com,crawl,https://civicactions.com/case-studies/cms-web-experience-services/fearless.tech,0,false,https://civicactions.com/case-studies/cms-web-experience-services/fearless.tech,2488,48,73,189,26,1805579,5,536314,swd,0.2675868078,0.14360492018600002,,,,,process,hardware-estimate,firefox-profiler,0,153.0,1.62.1,0.19.0,darwin,arm64,false,warm,false,,true
