session_id,target,scenario,step,run,warmup,url,duration_ms,ttfb_ms,dcl_ms,load_ms,requests,transfer_bytes,third_party_requests,third_party_bytes,co2_model,co2_g,co2_device_g,raw_joules,baseline_watts,estimated_idle_joules,incremental_joules,energy_scope,energy_type,energy_adapter,energy_samples,firefox_version,playwright_version,co2js_version,os,architecture,headed,cache_mode,on_battery,low_power_mode,valid
26363e4a-3f27-4a12-a429-f9aa6be38d61,https://mr16629-lltdcuaqvslul8xtiwwyr8qx91pp8su3.tugboatqa.com/user/login,measure,https://mr16629-lltdcuaqvslul8xtiwwyr8qx91pp8su3.tugboatqa.com/user/login,0,true,https://mr16629-lltdcuaqvslul8xtiwwyr8qx91pp8su3.tugboatqa.com/user/login,2605,296,616,628,15,118468,0,0,swd,0.017556957600000003,0.009422233912000002,0.385358,0.056239,0.146502,0.238856,process,hardware-estimate,firefox-profiler,780,153.0,1.62.1,0.19.0,darwin,arm64,true,warm,true,true,true
26363e4a-3f27-4a12-a429-f9aa6be38d61,https://mr16629-lltdcuaqvslul8xtiwwyr8qx91pp8su3.tugboatqa.com/user/login,measure,https://mr16629-lltdcuaqvslul8xtiwwyr8qx91pp8su3.tugboatqa.com/user/login,0,false,https://mr16629-lltdcuaqvslul8xtiwwyr8qx91pp8su3.tugboatqa.com/user/login,2143,110,143,143,9,100911,0,0,swd,0.0149550102,0.008025855474,0.076214,0.056239,0.12052,-0.044306,process,hardware-estimate,firefox-profiler,642,153.0,1.62.1,0.19.0,darwin,arm64,true,warm,true,true,true
26363e4a-3f27-4a12-a429-f9aa6be38d61,https://mr16629-lltdcuaqvslul8xtiwwyr8qx91pp8su3.tugboatqa.com/user/login,measure,https://mr16629-lltdcuaqvslul8xtiwwyr8qx91pp8su3.tugboatqa.com/user/login,1,false,https://mr16629-lltdcuaqvslul8xtiwwyr8qx91pp8su3.tugboatqa.com/user/login,2136,104,133,133,9,100911,0,0,swd,0.0149550102,0.008025855474,0.071643,0.056239,0.120126,-0.048484,process,hardware-estimate,firefox-profiler,642,153.0,1.62.1,0.19.0,darwin,arm64,true,warm,true,true,true
