session_id,target,scenario,step,run,warmup,url,duration_ms,ttfb_ms,dcl_ms,load_ms,requests,transfer_bytes,third_party_requests,third_party_bytes,co2_model,co2_g,co2_device_g,raw_joules,baseline_watts,estimated_idle_joules,incremental_joules,energy_scope,energy_type,energy_adapter,energy_samples,firefox_version,playwright_version,co2js_version,os,architecture,headed,cache_mode,on_battery,low_power_mode,valid
b00d708e-1062-40d7-94a6-8ca445a2c955,https://mgifford.github.io/open-scans/,measure,https://mgifford.github.io/open-scans/,0,true,https://mgifford.github.io/open-scans/,2405,180,390,390,4,18020,0,0,swd,0.002670564,0.00143320268,,,,,process,hardware-estimate,firefox-profiler,0,153.0,1.62.1,0.19.0,darwin,arm64,false,warm,false,,true
b00d708e-1062-40d7-94a6-8ca445a2c955,https://mgifford.github.io/open-scans/,measure,https://mgifford.github.io/open-scans/reports.html,0,true,https://mgifford.github.io/open-scans/reports.html,2287,241,277,296,1,36018,0,0,swd,0.0053378676,0.002864655612,,,,,process,hardware-estimate,firefox-profiler,0,153.0,1.62.1,0.19.0,darwin,arm64,false,warm,false,,true
b00d708e-1062-40d7-94a6-8ca445a2c955,https://mgifford.github.io/open-scans/,measure,https://mgifford.github.io/open-scans/reports/issues/issue-58/2026-08-15T03-05-39-722Z/report.html,0,true,https://mgifford.github.io/open-scans/reports/issues/issue-58/2026-08-15T03-05-39-722Z/report.html,2214,163,297,297,1,128405,0,0,swd,0.019029620999999997,0.010212563269999999,,,,,process,hardware-estimate,firefox-profiler,0,153.0,1.62.1,0.19.0,darwin,arm64,false,warm,false,,true
b00d708e-1062-40d7-94a6-8ca445a2c955,https://mgifford.github.io/open-scans/,measure,https://mgifford.github.io/open-scans/,1,true,https://mgifford.github.io/open-scans/,2048,,60,60,4,18020,0,0,swd,0.002670564,0.00143320268,,,,,process,hardware-estimate,firefox-profiler,0,153.0,1.62.1,0.19.0,darwin,arm64,false,warm,false,,true
b00d708e-1062-40d7-94a6-8ca445a2c955,https://mgifford.github.io/open-scans/,measure,https://mgifford.github.io/open-scans/reports.html,1,true,https://mgifford.github.io/open-scans/reports.html,2030,,29,35,1,36018,0,0,swd,0.0053378676,0.002864655612,,,,,process,hardware-estimate,firefox-profiler,0,153.0,1.62.1,0.19.0,darwin,arm64,false,warm,false,,true
b00d708e-1062-40d7-94a6-8ca445a2c955,https://mgifford.github.io/open-scans/,measure,https://mgifford.github.io/open-scans/reports/issues/issue-58/2026-08-15T03-05-39-722Z/report.html,1,true,https://mgifford.github.io/open-scans/reports/issues/issue-58/2026-08-15T03-05-39-722Z/report.html,2048,,117,117,1,128405,0,0,swd,0.019029620999999997,0.010212563269999999,,,,,process,hardware-estimate,firefox-profiler,0,153.0,1.62.1,0.19.0,darwin,arm64,false,warm,false,,true
b00d708e-1062-40d7-94a6-8ca445a2c955,https://mgifford.github.io/open-scans/,measure,https://mgifford.github.io/open-scans/,0,false,https://mgifford.github.io/open-scans/,2108,,95,96,4,18020,0,0,swd,0.002670564,0.00143320268,,,,,process,hardware-estimate,firefox-profiler,0,153.0,1.62.1,0.19.0,darwin,arm64,false,warm,false,,true
b00d708e-1062-40d7-94a6-8ca445a2c955,https://mgifford.github.io/open-scans/,measure,https://mgifford.github.io/open-scans/reports.html,0,false,https://mgifford.github.io/open-scans/reports.html,2054,,48,55,1,36018,0,0,swd,0.0053378676,0.002864655612,,,,,process,hardware-estimate,firefox-profiler,0,153.0,1.62.1,0.19.0,darwin,arm64,false,warm,false,,true
b00d708e-1062-40d7-94a6-8ca445a2c955,https://mgifford.github.io/open-scans/,measure,https://mgifford.github.io/open-scans/reports/issues/issue-58/2026-08-15T03-05-39-722Z/report.html,0,false,https://mgifford.github.io/open-scans/reports/issues/issue-58/2026-08-15T03-05-39-722Z/report.html,2035,,96,98,1,128405,0,0,swd,0.019029620999999997,0.010212563269999999,,,,,process,hardware-estimate,firefox-profiler,0,153.0,1.62.1,0.19.0,darwin,arm64,false,warm,false,,true
b00d708e-1062-40d7-94a6-8ca445a2c955,https://mgifford.github.io/open-scans/,measure,https://mgifford.github.io/open-scans/,1,false,https://mgifford.github.io/open-scans/,2032,,26,28,4,18020,0,0,swd,0.002670564,0.00143320268,,,,,process,hardware-estimate,firefox-profiler,0,153.0,1.62.1,0.19.0,darwin,arm64,false,warm,false,,true
